"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 07 22:45:18 PKT 2020","Wed Oct 07 22:45:23 PKT 2020","5517","","My Login application","","My Login application","should login with valid credentials","should login with valid credentials",""
"passed","Thu Oct 08 17:31:23 PKT 2020","Thu Oct 08 17:31:40 PKT 2020","17588","","Order Confirmation Test","","Order Confirmation Test","should login with valid credentials, place an order then logout","should login with valid credentials, place an order then logout",""
